ride_id,Name,Capacity,Avg_Day
101,34th St & Wisconsin Ave NW,11.0,14.428571428571429
64,36th & Calvert St NW / Glover Park,15.0,9.142857142857142
1,37th & Ely Pl SE,15.0,0.14285714285714285
222,37th & O St NW / Georgetown University,23.0,31.714285714285715
161,39th & Calvert St NW / Stoddert,19.0,23.0
61,39th & Veazey St NW,15.0,8.714285714285714
138,3rd & D St SE,11.0,19.714285714285715
210,3rd & Elm St NW,15.0,30.0
159,3rd & G St SE,19.0,22.714285714285715
277,3rd & H St NE,19.0,39.57142857142857
134,3rd & H St NW,15.0,19.142857142857142
400,3rd & M St NE,23.0,57.142857142857146
39,3rd & M st SE,23.0,5.571428571428571
154,3rd & Tingey St SE,19.0,22.0
11,3rd & Underwood St NW,19.0,1.5714285714285714
113,3rd St & Pennsylvania Ave SE,15.0,16.142857142857142
11,3rd St & Riggs Rd NE,15.0,1.5714285714285714
15,47th & Elm St,15.0,2.142857142857143
27,48th Pl & MacArthur Blvd NW,19.0,3.857142857142857
206,4th & C St SW,39.0,29.428571428571427
49,4th & D St NW / Judiciary Square,15.0,7.0
142,4th & E St SW,19.0,20.285714285714285
142,4th & East Capitol St NE,11.0,20.285714285714285
138,4th & M St SE,19.0,19.714285714285715
294,4th & M St SW,23.0,42.0
88,4th & W St NE,15.0,12.571428571428571
184,4th St & G St SW,19.0,26.285714285714285
267,4th St & K St NW,23.0,38.142857142857146
619,4th St & Madison Dr NW,31.0,88.42857142857143
1,4th St & Mississippi Ave SE,19.0,0.14285714285714285
1,53rd & D St SE/C.W. Harris Elementary,19.0,0.14285714285714285
103,5th & F St NW,31.0,14.714285714285714
375,5th & K St NW,19.0,53.57142857142857
17,5th & Kennedy St NW,15.0,2.4285714285714284
280,5th St & Massachusetts Ave NW,19.0,40.0
4,61st St & Banks Pl NE,19.0,0.5714285714285714
262,6th & H St NE,23.0,37.42857142857143
114,6th & K St NE,19.0,16.285714285714285
146,6th St & Indiana Ave NW,19.0,20.857142857142858
68,7th & E St SW,19.0,9.714285714285714
243,7th & F St NW / National Portrait Gallery,27.0,34.714285714285715
234,7th & K St NW,19.0,33.42857142857143
184,7th & R St NW / Shaw Library,15.0,26.285714285714285
134,7th & S St NW,19.0,19.142857142857142
286,7th & T St NW,15.0,40.857142857142854
121,7th St & Massachusetts Ave NE,19.0,17.285714285714285
130,8th & D St NW,15.0,18.571428571428573
114,8th & East Capitol St NE,11.0,16.285714285714285
103,8th & Eye St SE / Barracks Row,11.0,14.714285714285714
144,8th & F St NE,23.0,20.571428571428573
111,8th & H St NE,19.0,15.857142857142858
263,8th & H St NW,33.0,37.57142857142857
62,8th & K St NE,15.0,8.857142857142858
343,8th & O St NW,19.0,49.0
58,9th & Upshur St NW,15.0,8.285714285714286
254,Adams Mill & Columbia Rd NW,15.0,36.285714285714285
5,Alabama & MLK Ave SE,11.0,0.7142857142857143
8,Alabama Ave & Stanton Rd SE / Shops at Park Village,19.0,1.1428571428571428
52,American University East Campus,19.0,7.428571428571429
1,Amherst Ave & Elkins St,15.0,0.14285714285714285
2,Amherst Ave & Prichard Rd,15.0,0.2857142857142857
43,Anacostia Ave & Benning Rd NE / River Terrace ,15.0,6.142857142857143
1,Anacostia Library,11.0,0.14285714285714285
12,Anacostia Metro,11.0,1.7142857142857142
64,Anacostia Park,19.0,9.142857142857142
63,Anacostia Roller Skating Pavillion,19.0,9.0
22,Arlington Blvd & Fairfax Dr,16.0,3.142857142857143
14,Arlington Blvd & Fillmore St,11.0,2.0
36,Arlington Blvd & Ft Myer Dr,15.0,5.142857142857143
19,Arlington Blvd & N Queen St,11.0,2.7142857142857144
2,Arlington Blvd & S George Mason Dr,15.0,0.2857142857142857
34,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,15.0,4.857142857142857
55,Army Navy Dr & S Joyce St,16.0,7.857142857142857
5,Army Navy Dr & S Nash St,11.0,0.7142857142857143
20,Aurora Hills Cmty Ctr / 18th St & S Hayes St,12.0,2.857142857142857
22,Ballenger Ave & Dulaney St,19.0,3.142857142857143
77,Ballston Metro / Stuart St & 9th St N,23.0,11.0
20,Baltimore Ave & Jefferson St,15.0,2.857142857142857
21,Baltimore Ave & Van Buren St / Riverdale Park Station,17.0,3.0
15,Barcroft Community Center,11.0,2.142857142857143
21,Barton St & 10th St N,11.0,3.0
23,Battery Ln & Trolley Trail,15.0,3.2857142857142856
4,Benning Branch Library,11.0,0.5714285714285714
13,Benning Rd & East Capitol St NE / Benning Rd Metro,19.0,1.8571428571428572
30,Bethesda Ave & Arlington Rd,19.0,4.285714285714286
29,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,12.0,4.142857142857143
43,Bladensburg Rd & Benning Rd NE,15.0,6.142857142857143
2,Blueridge Ave & Elkin St,15.0,0.2857142857142857
63,Braddock Rd Metro,29.0,9.0
1,Branch & Pennsylvania Ave SE,11.0,0.14285714285714285
5,Briggs Chaney & Castle Dr,19.0,0.7142857142857143
4,Briggs Chaney Park & Ride,23.0,0.5714285714285714
8,Broad Branch Rd & Northampton St NW,19.0,1.1428571428571428
183,C & O Canal & Wisconsin Ave NW,23.0,26.142857142857142
297,California St & Florida Ave NW,19.0,42.42857142857143
95,Calvert & Biltmore St NW,23.0,13.571428571428571
118,Calvert St & Woodley Pl NW,19.0,16.857142857142858
20,Capitol Ave & Kendall St NE,19.0,2.857142857142857
3,Capitol Heights Metro,19.0,0.42857142857142855
20,Carlin Springs Rd & N Thomas St,15.0,2.857142857142857
17,Carroll & Ethan Allen Ave,15.0,2.4285714285714284
18,Carroll & Westmoreland Ave,15.0,2.5714285714285716
46,Central Library / Quincy St & 10th St N,11.0,6.571428571428571
13,Chillum Rd & Riggs Rd / Riggs Plaza,15.0,1.8571428571428572
1,Citadel Ave & McGrath Blvd,15.0,0.14285714285714285
65,Clarendon Blvd & N Fillmore St,15.0,9.285714285714286
52,Clarendon Blvd & Pierce St,15.0,7.428571428571429
109,Clarendon Metro / Wilson Blvd & N Highland St,21.0,15.571428571428571
17,Clark St & 26th St S,11.0,2.4285714285714284
305,Columbia & Ontario Rd NW,23.0,43.57142857142857
13,Columbia Pike & S Courthouse Rd,15.0,1.8571428571428572
20,Columbia Pike & S Greenbrier St,15.0,2.857142857142857
3,Columbia Pike & S Oakland St,11.0,0.42857142857142855
11,Columbia Pike & S Orme St,11.0,1.5714285714285714
10,Columbia Pike & S Taylor St,15.0,1.4285714285714286
31,Columbia Pike & S Walter Reed Dr,12.0,4.428571428571429
152,Columbia Rd & Belmont St NW,19.0,21.714285714285715
160,Columbia Rd & Georgia Ave NW,19.0,22.857142857142858
1,Columbus Ave & Gramercy Blvd,11.0,0.14285714285714285
464,Columbus Circle / Union Station,55.0,66.28571428571429
22,Commerce St & Fayette St,15.0,3.142857142857143
12,Commonwealth Ave & E Monroe Ave,15.0,1.7142857142857142
10,Congress Heights Metro,15.0,1.4285714285714286
4,Congressional Ln & E Jefferson St,15.0,0.5714285714285714
42,Connecticut & Nebraska Ave NW,23.0,6.0
9,Connecticut Ave & Chevy Chase Lake Dr,15.0,1.2857142857142858
27,Connecticut Ave & McKinley St NW,19.0,3.857142857142857
82,Connecticut Ave & Newark St NW / Cleveland Park,11.0,11.714285714285714
175,Connecticut Ave & R St NW,19.0,25.0
57,Connecticut Ave & Tilden St NW,15.0,8.142857142857142
36,Connecticut Ave & Yuma St NW,19.0,5.142857142857143
276,Constitution Ave & 2nd St NW/DOL,27.0,39.42857142857143
257,Convention Center / 7th & M St NW,23.0,36.714285714285715
20,Cordell & Norfolk Ave,11.0,2.857142857142857
125,Court House Metro / 15th St & N Uhle St,21.0,17.857142857142858
4,Crescent Rd & Ridge Rd,15.0,0.5714285714285714
65,Crystal City Metro / 18th St & S Bell St,19.0,9.285714285714286
57,Crystal Dr & 15th St S,16.0,8.142857142857142
76,Crystal Dr & 20th St S,17.0,10.857142857142858
60,Crystal Dr & 23rd St S,17.0,8.571428571428571
35,Crystal Dr & 27th St S,11.0,5.0
129,D St & Maryland Ave NE,23.0,18.428571428571427
9,Deanwood Rec Center,15.0,1.2857142857142858
6,Dennis Ave & Amherst Ave,15.0,0.8571428571428571
2,Division Ave & Foote St NE,15.0,0.2857142857142857
38,Duke St & John Carlyle St,15.0,5.428571428571429
32,Duke St & Strand (Robinson Terminal),11.0,4.571428571428571
9,Dunn Loring Metro,19.0,1.2857142857142858
4,E Fairfax St & S Washington St,12.0,0.5714285714285714
6,E Montgomery Ave & Maryland Ave,15.0,0.8571428571428571
98,Eads St & 12th St S,17.0,14.0
27,Eads St & 15th St S,15.0,3.857142857142857
33,Eads St & 22nd St S,15.0,4.714285714285714
27,East Falls Church Metro / Sycamore St & 19th St N,19.0,3.857142857142857
16,East West Hwy & 16th St,19.0,2.2857142857142856
14,East West Hwy & Blair Mill Rd,15.0,2.0
197,Eastern Market / 7th & North Carolina Ave SE,15.0,28.142857142857142
335,Eastern Market Metro / Pennsylvania Ave & 8th St SE,19.0,47.857142857142854
190,Eckington Pl & Q St NE,23.0,27.142857142857142
70,Edgewood Rec Center,15.0,10.0
16,Eisenhower Ave & Ike Dr,15.0,2.2857142857142856
21,Eisenhower Ave & Mill Race Ln,15.0,3.0
6,Executive Blvd & E Jefferson St,15.0,0.8571428571428571
44,Fairfax Dr & N Randolph St,11.0,6.285714285714286
35,Fairfax Dr & Wilson Blvd,11.0,5.0
2,Fairfax Village,15.0,0.2857142857142857
9,Falls Church City Hall / Park Ave & Little Falls St,12.0,1.2857142857142858
4,Fallsgrove Blvd & Fallsgrove Dr,19.0,0.5714285714285714
5,Fallsgrove Dr & W Montgomery Ave,15.0,0.7142857142857143
26,Fenton St & Ellsworth Dr ,15.0,3.7142857142857144
18,Fenton St & Gist Ave,11.0,2.5714285714285716
15,Fenton St & New York Ave ,15.0,2.142857142857143
8,Fern St & Army Navy Dr,15.0,1.1428571428571428
7,Fessenden St & Wisconsin Ave NW,15.0,1.0
3,Fishers Ln & Rock Creek Mill Rd,15.0,0.42857142857142855
8,Fleet St & Ritchie Pkwy,15.0,1.1428571428571428
11,Fleet St & Waterfront St,15.0,1.5714285714285714
198,Florida Ave & R St NW,15.0,28.285714285714285
27,Fort Totten Metro,19.0,3.857142857142857
13,Four Mile Run Dr & S Shirlington Rd,11.0,1.8571428571428572
13,Four Mile Run Dr & S Walter Reed Dr,11.0,1.8571428571428572
17,Franklin St & S Washington St,19.0,2.4285714285714284
26,Friendship Blvd & Willard Ave,19.0,3.7142857142857144
31,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,19.0,4.428571428571429
31,GMU / Fairfax Dr & Kenmore St,11.0,4.428571428571429
21,Gallaudet / 8th St & Florida Ave NE,19.0,3.0
7,Garland Ave & Walden Rd,15.0,1.0
22,George Mason Dr & Wilson Blvd,15.0,3.142857142857143
216,Georgetown Harbor / 30th St NW,19.0,30.857142857142858
35,Georgia & Missouri Ave NW,19.0,5.0
180,Georgia & New Hampshire Ave NW,19.0,25.714285714285715
24,Georgia Ave & Emerson St NW,19.0,3.4285714285714284
13,Georgia Ave & Kennedy St NW,19.0,1.8571428571428572
117,Georgia Ave & Morton St NW,19.0,16.714285714285715
23,Georgia Ave & Piney Branch Rd NW,15.0,3.2857142857142856
7,Georgia Ave & Spring St,11.0,1.0
54,Georgia Ave and Fairmont St NW,11.0,7.714285714285714
18,Glebe Rd & 11th St N,11.0,2.5714285714285716
5,Good Hope & Naylor Rd SE,19.0,0.7142857142857143
2,Good Hope Rd & 14th St SE,15.0,0.2857142857142857
10,Good Hope Rd & MLK Ave SE,11.0,1.4285714285714286
3,Grandview & Blueridge Ave,15.0,0.42857142857142855
77,Grant Circle,19.0,11.0
218,Gravelly Point,15.0,31.142857142857142
5,Greenbelt Station Parkway,11.0,0.7142857142857143
3,Greensboro & International Dr,11.0,0.42857142857142855
2,Greensboro & Pinnacle Dr,13.0,0.2857142857142857
117,Hains Point/Buckeye & Ohio Dr SW,17.0,16.714285714285715
50,Half & Water St SW,15.0,7.142857142857143
70,Hamlin & 7th St NE,15.0,10.0
28,Hardy Rec Center,8.0,4.0
99,Harvard St & Adams Mill Rd NW,15.0,14.142857142857142
590,Henry Bacon Dr & Lincoln Memorial Circle NW,19.0,84.28571428571429
20,Henry St & Pendleton St,17.0,2.857142857142857
3,Hyattsville Library / Adelphi Rd & Toledo Rd,15.0,0.42857142857142855
117,Independence Ave & L'Enfant Plaza SW/DOE,15.0,16.714285714285715
67,Iwo Jima Memorial / Meade & 14th St N,19.0,9.571428571428571
679,Jefferson Dr & 14th St SW,23.0,97.0
417,Jefferson Memorial,23.0,59.57142857142857
38,John McCormack Dr & Michigan Ave NE,11.0,5.428571428571429
18,John McCormack Rd NE,19.0,2.5714285714285716
1,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,19.0,0.14285714285714285
1,Jones Branch Drive & Scotts Crossing Rd,11.0,0.14285714285714285
44,Joyce St & 16th St S,15.0,6.285714285714286
27,Kansas Ave & Longfellow St NW,19.0,3.857142857142857
65,Kansas Ave & Sherman Cr NW,19.0,9.285714285714286
7,Kenilworth Terrace & Hayes St. NE,19.0,1.0
7,Kenmore Ave & Seminary Rd,11.0,1.0
8,Kenmore St & 24th St S,11.0,1.1428571428571428
24,Kennebec St & 11th St N,15.0,3.4285714285714284
80,Kennedy Center,19.0,11.428571428571429
2,Key West Ave & Diamondback Dr,11.0,0.2857142857142857
5,Key West Ave & Great Seneca Hwy,11.0,0.7142857142857143
